sid,rep,cs_p,cs_b,or_p,or_b,pr_p,pr_b,rc_p,rc_b,nn_p,nn_b
1,0,0.5324225653816841,-0.07532243894933915,0.02502120768689935,-0.28146634522808556,0.08404002637101486,-0.20529081060963944,0.022325011434776734,-0.27217723770335517,0.03495904595070976,-0.2500246551048563
1,1,0.13308969852638677,-0.18218902630686556,0.00302639631609985,-0.36752285030002935,0.03161866436191123,-0.25862563401661354,0.0038689137882645204,-0.3493778666413734,0.001258626064025461,-0.3911527563083209
1,2,0.09607350425391993,-0.20173291525032047,4.644814400277372e-05,-0.5184230268787303,0.0028182553039533473,-0.3569465702069519,0.00013876168754168715,-0.45992357235328063,0.00037654217232558046,-0.42946451957575016
1,3,0.0033001139115116573,-0.3488180945866403,1.4604483882276852e-06,-0.6104258908983989,0.00044585716396656415,-0.41410675652943046,4.483322547409765e-05,-0.48211525135850475,6.073617439932217e-05,-0.4749322389391915
1,4,0.032784448239268175,-0.2545579858884085,0.004154566033339647,-0.3561713254383727,0.023609372140652028,-0.2688448430971628,0.009644319391654142,-0.3075698988864556,0.006345949069613198,-0.32427590684069496
1,5,0.003265761403982477,-0.36206556822474084,0.0015186844422253553,-0.4043495458261527,0.0011882560685508277,-0.3960357058130998,0.00028439640160783875,-0.4448530457102623,0.0001285486717092269,-0.46966106629597665
1,6,0.04706055973484579,-0.24171716728732545,0.005456686745002991,-0.3531949971758353,0.002300668742522632,-0.3677233306107343,0.0019636992585170673,-0.37440059951981236,0.06073525770758734,-0.22394126807028097
1,7,0.24219729528113126,-0.14041058734063339,0.11405194399162373,-0.19715836060529957,0.18199007475283335,-0.1590997313041063,0.14677909443807594,-0.17299470918741444,0.100320442559491,-0.19597886043769833
1,8,0.009688312350970599,-0.30935371956695934,0.012756765581257812,-0.30707680832583417,0.02553232655732932,-0.26378332426058937,0.0302599915416996,-0.25642545670148037,0.043318857436145455,-0.23955491954841657
1,9,0.0030952915043688405,-0.3634503453723492,0.0004691108177171312,-0.4469522678651029,0.0006251298383455726,-0.4133359458206242,0.0004179315263556953,-0.42919580395055446,0.0006283402686389951,-0.41544125453688535
1,10,0.0628594596053208,-0.22172952533255957,0.015471274563842926,-0.2951823005968882,0.02132087743661857,-0.2726617290524951,0.009913096535126295,-0.3056702770584952,0.015799433955966814,-0.2860810866278816
1,11,0.5297858543227479,-0.07472725448447332,0.14876259694755584,-0.17800346259169172,0.32464518389631536,-0.11651217846659823,0.1877498294015355,-0.15630811428018504,0.2340300184366825,-0.1410045754030621
1,12,0.7530690093796867,0.03907581746251854,0.6256419405275987,-0.06272251374415044,0.5852155821763676,-0.06652409093745056,0.515795873462189,-0.07906297691182006,0.4363468134450714,-0.0947196987320088
1,13,0.010627630094958682,-0.3165943725365403,0.0002243157171561605,-0.47432355119965225,0.03835475220782737,-0.2500971331370049,0.00274331309253787,-0.3662539104444004,0.001228589002202658,-0.3967019823779877
1,14,0.0721070732315833,-0.2214843289823303,0.06546418657917341,-0.23431788409099535,0.013020528299239685,-0.2976184747272322,0.012554087900392454,-0.29921078096106424,0.013193960223731824,-0.29701229454400313
1,15,0.4902287453761913,-0.08348416985470528,0.0005636822998260205,-0.45287881847463324,0.05593181567039864,-0.22908249907084635,0.015618139953242278,-0.2895596190896318,0.018185967463729403,-0.28291684348711627
1,16,0.028055971987312356,-0.26986552322437624,0.062368502945392604,-0.2385064651031212,0.03748509589521034,-0.25060435869260417,0.032511235269819784,-0.2576931158345088,0.0502891965869683,-0.23555212771395817
1,17,0.3303517297793671,-0.11927893384409945,0.1097849938772183,-0.20002084325141553,0.08352245413819658,-0.20736017461325668,0.11491081558241775,-0.1889948809573997,0.15622334992102666,-0.17003933903457008
1,18,0.14635204935931725,-0.17336160165094525,0.005505195978914201,-0.34244990746518544,0.0505265037986077,-0.23099426392913658,0.012218439204868934,-0.2974766889994087,0.01329699215048305,-0.29379484567263464
1,19,0.013820912407662743,-0.3033483359252095,0.00022752968819575336,-0.4774250050347951,0.000429430723538981,-0.43400220096059544,5.276879549178873e-05,-0.5032356421470929,0.0001254252014830974,-0.47533781772899886
1,20,0.009840044532129008,-0.3205793935663829,0.0012104018948300673,-0.41094495570300466,0.002342290897267544,-0.3738115784228548,0.00032543734509840947,-0.4427709120345262,0.0006448319039186221,-0.4200411881890398
1,21,0.0009136396997167229,-0.4220283739159349,0.0003043052401371422,-0.4716598648142305,0.005756389796417255,-0.3443065003885998,0.0016980047829428747,-0.38981024657601265,0.002223985561027375,-0.3799106005601253
1,22,0.24594004757696386,-0.1418583304557856,0.13719727146455096,-0.18549448736660243,0.08759103937559834,-0.2071886674194436,0.09004668755639597,-0.2064726292977554,0.08201784947396189,-0.21205414054792307
1,23,0.0262508545286967,-0.27179997834244224,0.008368549125534868,-0.33627041711513905,0.001585936974672563,-0.3908581026747628,0.002921234555946498,-0.36660271596888944,0.14140515699970468,-0.17923735436238022
1,24,0.6651344841104403,0.05175754631009542,0.1184055641999903,-0.19587774281142378,0.3168888910975899,-0.1194967091273195,0.11348468818175947,-0.19120285006356402,0.1671538136532985,-0.16543892780055555
1,25,0.06427610206450898,-0.21751478590878337,0.006387462822338925,-0.3458449727792641,0.004383868558125365,-0.3358491614325006,0.008202063991044334,-0.310821325686874,0.002359334563840062,-0.3589841339157244
1,26,7.544529093853987e-05,-0.4701638691198935,2.105461319300642e-06,-0.5884235380260694,0.00015321906656676988,-0.4443885494959491,1.7457516691919307e-06,-0.568565336231705,,
1,27,0.26551464865094176,-0.13693896984932308,0.37252858483649165,-0.11483342434016575,0.06137044538926859,-0.22720674583640724,0.17717999817499114,-0.1631916812475334,0.2803627066314976,-0.1305198829809551
1,28,0.009588409260464323,-0.31809189420329703,0.0002780193501644335,-0.449493550051252,0.003944256896366044,-0.3471493424282305,0.00032562549810864365,-0.4348402046700396,0.0007664421873212122,-0.4070390393552062
1,29,0.002480434780960138,-0.36617416974721206,0.10272422424521595,-0.21123466307513594,0.21039078676268616,-0.14875562420151597,0.18724651122251446,-0.15663650825362024,0.15037860120604157,-0.170838906423882
1,30,0.0037076842731724106,-0.3571813300480662,2.971359527568974e-05,-0.5315831549649349,0.000281707968640791,-0.44180829826598217,7.786539831331984e-05,-0.4816892620779287,4.569151351307286e-05,-0.4972640623629393
1,31,7.280288127424543e-05,-0.49049664998467996,0.0011816509192944563,-0.41754891957734547,0.00035931779289579053,-0.4320726780165389,0.001200849931895619,-0.3927675718388687,0.0011726944817748277,-0.39366895375742883
1,32,0.030294247718386024,-0.25680609547638533,0.01114864370480205,-0.3084758623766997,0.023498888881428603,-0.26240085258859064,0.007132974229743876,-0.31353639677550693,0.00824117755580297,-0.30823780823001096
1,33,0.01736066132285074,-0.2842502581204067,0.003653163522506472,-0.3626950693075106,0.00018845801530280713,-0.4442823405740568,0.0010772129701762867,-0.3871050921552057,0.002176754411971601,-0.36261046999126123
1,34,0.021883618282076894,-0.2813813870520526,0.0015241263796857527,-0.40277487898450043,0.0030301990163060376,-0.3584165245045847,0.0013512375368012965,-0.38917553951669553,0.0006084285300925268,-0.41915859752682066
